"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_001MA","B25003_001EA","B25003_002E","B25003_002M","B25003_002MA","B25003_002EA","B25003_003E","B25003_003EA","B25003_003M","B25003_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Annotation of Margin of Error!!Total!!Owner occupied","Annotation of Estimate!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Annotation of Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Annotation of Margin of Error!!Total!!Renter occupied",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","1317","157","null","null","569","119","null","null","748","null","167","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","1393","137","null","null","759","127","null","null","634","null","139","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","2119","159","null","null","1345","191","null","null","774","null","202","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","1165","118","null","null","888","125","null","null","277","null","118","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","2903","178","null","null","1527","175","null","null","1376","null","228","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","1670","120","null","null","1301","148","null","null","369","null","129","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","377","63","null","null","269","46","null","null","108","null","48","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","2240","108","null","null","1959","146","null","null","281","null","129","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","2118","157","null","null","1271","189","null","null","847","null","197","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","837","68","null","null","344","69","null","null","493","null","88","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","1273","98","null","null","523","103","null","null","750","null","114","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","2302","149","null","null","0","109","null","null","2302","null","149","null",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","831","93","null","null","35","4","null","null","796","null","94","null",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","1897","104","null","null","935","154","null","null","962","null","159","null",
"1400000US42101012500","Census Tract 125, Philadelphia County, Pennsylvania","2599","211","null","null","175","67","null","null","2424","null","217","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","598","102","null","null","170","73","null","null","428","null","104","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","944","149","null","null","158","72","null","null","786","null","145","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","1227","134","null","null","370","91","null","null","857","null","127","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","1399","105","null","null","887","120","null","null","512","null","137","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","1547","155","null","null","513","121","null","null","1034","null","163","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","1353","109","null","null","690","103","null","null","663","null","143","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","1350","117","null","null","966","106","null","null","384","null","108","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","1643","142","null","null","1134","135","null","null","509","null","158","null",
"1400000US42101013700","Census Tract 137, Philadelphia County, Pennsylvania","1717","176","null","null","997","171","null","null","720","null","195","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","832","101","null","null","471","130","null","null","361","null","111","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","1181","134","null","null","146","64","null","null","1035","null","135","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","1180","129","null","null","277","87","null","null","903","null","155","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","851","93","null","null","156","72","null","null","695","null","106","null",
"1400000US42101014200","Census Tract 142, Philadelphia County, Pennsylvania","1387","127","null","null","719","104","null","null","668","null","119","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","657","85","null","null","373","82","null","null","284","null","84","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","1133","123","null","null","625","142","null","null","508","null","152","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","685","94","null","null","161","49","null","null","524","null","96","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","998","91","null","null","499","89","null","null","499","null","120","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","1093","130","null","null","240","78","null","null","853","null","158","null",
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","260","71","null","null","54","49","null","null","206","null","75","null",
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","1345","170","null","null","616","137","null","null","729","null","171","null",
"1400000US42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania","927","156","null","null","270","107","null","null","657","null","145","null",
"1400000US42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania","2080","163","null","null","656","152","null","null","1424","null","196","null",
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","1997","169","null","null","558","138","null","null","1439","null","144","null",
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","1174","160","null","null","453","121","null","null","721","null","162","null",
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","525","95","null","null","234","92","null","null","291","null","87","null",
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","981","76","null","null","510","99","null","null","471","null","103","null",
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","2309","178","null","null","1645","180","null","null","664","null","196","null",
"1400000US42101016000","Census Tract 160, Philadelphia County, Pennsylvania","2606","206","null","null","1935","229","null","null","671","null","197","null",
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","1673","154","null","null","888","137","null","null","785","null","162","null",
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","764","116","null","null","170","84","null","null","594","null","130","null",
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","1072","138","null","null","519","144","null","null","553","null","145","null",
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","1487","140","null","null","492","123","null","null","995","null","163","null",
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","1014","133","null","null","397","112","null","null","617","null","149","null",
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","467","108","null","null","172","81","null","null","295","null","108","null",
"1400000US42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania","1148","159","null","null","746","136","null","null","402","null","153","null",
"1400000US42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania","1113","149","null","null","504","132","null","null","609","null","162","null",
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","1399","115","null","null","906","118","null","null","493","null","108","null",
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","1335","163","null","null","816","163","null","null","519","null","149","null",
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","2218","175","null","null","1155","166","null","null","1063","null","215","null",
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","1116","136","null","null","367","88","null","null","749","null","134","null",
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","1749","108","null","null","1151","141","null","null","598","null","143","null",
"1400000US42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania","1268","161","null","null","657","133","null","null","611","null","144","null",
"1400000US42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania","1541","172","null","null","967","177","null","null","574","null","151","null",
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","1186","104","null","null","745","123","null","null","441","null","139","null",
