"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US42101027700","Census Tract 277, Philadelphia County, Pennsylvania","12354","null","22757","null",
"1400000US42101027800","Census Tract 278, Philadelphia County, Pennsylvania","4145","null","30625","null",
"1400000US42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania","4909","null","29968","null",
"1400000US42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania","9683","null","25038","null",
"1400000US42101028000","Census Tract 280, Philadelphia County, Pennsylvania","5977","null","25476","null",
"1400000US42101028100","Census Tract 281, Philadelphia County, Pennsylvania","8305","null","33699","null",
"1400000US42101028200","Census Tract 282, Philadelphia County, Pennsylvania","5043","null","33227","null",
"1400000US42101028300","Census Tract 283, Philadelphia County, Pennsylvania","2177","null","25959","null",
"1400000US42101028400","Census Tract 284, Philadelphia County, Pennsylvania","7816","null","27955","null",
"1400000US42101028500","Census Tract 285, Philadelphia County, Pennsylvania","14508","null","29115","null",
"1400000US42101028600","Census Tract 286, Philadelphia County, Pennsylvania","9659","null","22902","null",
"1400000US42101028700","Census Tract 287, Philadelphia County, Pennsylvania","9588","null","25019","null",
"1400000US42101028800","Census Tract 288, Philadelphia County, Pennsylvania","3501","null","23322","null",
"1400000US42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania","8945","null","37401","null",
"1400000US42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania","3207","null","30847","null",
"1400000US42101029000","Census Tract 290, Philadelphia County, Pennsylvania","7400","null","26750","null",
"1400000US42101029100","Census Tract 291, Philadelphia County, Pennsylvania","4123","null","25026","null",
"1400000US42101029200","Census Tract 292, Philadelphia County, Pennsylvania","3925","null","30264","null",
"1400000US42101029300","Census Tract 293, Philadelphia County, Pennsylvania","7303","null","21444","null",
"1400000US42101029400","Census Tract 294, Philadelphia County, Pennsylvania","7229","null","23686","null",
"1400000US42101029800","Census Tract 298, Philadelphia County, Pennsylvania","6647","null","30639","null",
"1400000US42101029900","Census Tract 299, Philadelphia County, Pennsylvania","3627","null","24926","null",
"1400000US42101030000","Census Tract 300, Philadelphia County, Pennsylvania","3578","null","24448","null",
"1400000US42101030100","Census Tract 301, Philadelphia County, Pennsylvania","9942","null","36270","null",
"1400000US42101030200","Census Tract 302, Philadelphia County, Pennsylvania","3953","null","35046","null",
"1400000US42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania","6431","null","33723","null",
"1400000US42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania","4448","null","51047","null",
"1400000US42101030600","Census Tract 306, Philadelphia County, Pennsylvania","5950","null","37984","null",
"1400000US42101030700","Census Tract 307, Philadelphia County, Pennsylvania","8780","null","41917","null",
"1400000US42101030800","Census Tract 308, Philadelphia County, Pennsylvania","6815","null","56774","null",
"1400000US42101030900","Census Tract 309, Philadelphia County, Pennsylvania","11441","null","36864","null",
"1400000US42101031000","Census Tract 310, Philadelphia County, Pennsylvania","7025","null","48941","null",
"1400000US42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania","2786","null","34190","null",
"1400000US42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania","2792","null","25672","null",
"1400000US42101031200","Census Tract 312, Philadelphia County, Pennsylvania","6733","null","40403","null",
"1400000US42101031300","Census Tract 313, Philadelphia County, Pennsylvania","7396","null","30379","null",
"1400000US42101031401","Census Tract 314.01, Philadelphia County, Pennsylvania","3170","null","32223","null",
"1400000US42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania","8589","null","46700","null",
"1400000US42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania","9202","null","52849","null",
"1400000US42101031502","Census Tract 315.02, Philadelphia County, Pennsylvania","7740","null","48920","null",
"1400000US42101031600","Census Tract 316, Philadelphia County, Pennsylvania","8872","null","43301","null",
"1400000US42101031700","Census Tract 317, Philadelphia County, Pennsylvania","5274","null","38418","null",
"1400000US42101031800","Census Tract 318, Philadelphia County, Pennsylvania","8115","null","38490","null",
"1400000US42101031900","Census Tract 319, Philadelphia County, Pennsylvania","7359","null","41906","null",
