"GEO_ID","NAME","H085001","H085001A",
"Geography","Label for GEO_ID","Median value","Annotation of Median value",
"1400000US42101027300","Census Tract 273, Philadelphia County, Pennsylvania","55400","null",
"1400000US42101027400","Census Tract 274, Philadelphia County, Pennsylvania","52000","null",
"1400000US42101027500","Census Tract 275, Philadelphia County, Pennsylvania","59700","null",
"1400000US42101027600","Census Tract 276, Philadelphia County, Pennsylvania","57900","null",
"1400000US42101027700","Census Tract 277, Philadelphia County, Pennsylvania","45800","null",
"1400000US42101027800","Census Tract 278, Philadelphia County, Pennsylvania","58000","null",
"1400000US42101027900","Census Tract 279, Philadelphia County, Pennsylvania","47300","null",
"1400000US42101028000","Census Tract 280, Philadelphia County, Pennsylvania","35600","null",
"1400000US42101028100","Census Tract 281, Philadelphia County, Pennsylvania","49000","null",
"1400000US42101028200","Census Tract 282, Philadelphia County, Pennsylvania","51000","null",
"1400000US42101028300","Census Tract 283, Philadelphia County, Pennsylvania","42600","null",
"1400000US42101028400","Census Tract 284, Philadelphia County, Pennsylvania","43500","null",
"1400000US42101028500","Census Tract 285, Philadelphia County, Pennsylvania","44500","null",
"1400000US42101028600","Census Tract 286, Philadelphia County, Pennsylvania","44300","null",
"1400000US42101028700","Census Tract 287, Philadelphia County, Pennsylvania","40400","null",
"1400000US42101028800","Census Tract 288, Philadelphia County, Pennsylvania","38800","null",
"1400000US42101028900","Census Tract 289, Philadelphia County, Pennsylvania","42500","null",
"1400000US42101029000","Census Tract 290, Philadelphia County, Pennsylvania","57400","null",
"1400000US42101029100","Census Tract 291, Philadelphia County, Pennsylvania","55500","null",
"1400000US42101029200","Census Tract 292, Philadelphia County, Pennsylvania","56400","null",
"1400000US42101029300","Census Tract 293, Philadelphia County, Pennsylvania","39600","null",
"1400000US42101029400","Census Tract 294, Philadelphia County, Pennsylvania","28800","null",
"1400000US42101029500","Census Tract 295, Philadelphia County, Pennsylvania","60100","null",
"1400000US42101029600","Census Tract 296, Philadelphia County, Pennsylvania","45800","null",
"1400000US42101029700","Census Tract 297, Philadelphia County, Pennsylvania","31000","null",
"1400000US42101029800","Census Tract 298, Philadelphia County, Pennsylvania","44000","null",
"1400000US42101029900","Census Tract 299, Philadelphia County, Pennsylvania","36900","null",
"1400000US42101030000","Census Tract 300, Philadelphia County, Pennsylvania","40000","null",
"1400000US42101030100","Census Tract 301, Philadelphia County, Pennsylvania","64200","null",
"1400000US42101030200","Census Tract 302, Philadelphia County, Pennsylvania","55700","null",
"1400000US42101030300","Census Tract 303, Philadelphia County, Pennsylvania","51800","null",
"1400000US42101030400","Census Tract 304, Philadelphia County, Pennsylvania","58800","null",
"1400000US42101030500","Census Tract 305, Philadelphia County, Pennsylvania","57900","null",
"1400000US42101030600","Census Tract 306, Philadelphia County, Pennsylvania","74000","null",
"1400000US42101030700","Census Tract 307, Philadelphia County, Pennsylvania","84100","null",
