"GEO_ID","NAME","B19113_001M","B19113_001MA","B19113_001E","B19113_001EA",
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","14903","null","32241","null",
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","7619","null","57318","null",
"1400000US42101016000","Census Tract 160, Philadelphia County, Pennsylvania","6346","null","51099","null",
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","6982","null","27619","null",
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","17271","null","20327","null",
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","4005","null","15438","null",
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","4594","null","19088","null",
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","5068","null","18026","null",
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","7340","null","22336","null",
"1400000US42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania","20881","null","36806","null",
"1400000US42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania","10121","null","25658","null",
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","6777","null","34375","null",
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","8629","null","24432","null",
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","14102","null","30143","null",
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","14819","null","26229","null",
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","9442","null","28945","null",
"1400000US42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania","14600","null","33350","null",
"1400000US42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania","5700","null","26431","null",
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","18429","null","37422","null",
"1400000US42101017400","Census Tract 174, Philadelphia County, Pennsylvania","8991","null","22460","null",
"1400000US42101017500","Census Tract 175, Philadelphia County, Pennsylvania","2428","null","14443","null",
"1400000US42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania","3100","null","15752","null",
"1400000US42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania","6005","null","21071","null",
"1400000US42101017701","Census Tract 177.01, Philadelphia County, Pennsylvania","7107","null","16812","null",
"1400000US42101017702","Census Tract 177.02, Philadelphia County, Pennsylvania","3807","null","22259","null",
"1400000US42101017800","Census Tract 178, Philadelphia County, Pennsylvania","6361","null","22073","null",
"1400000US42101017900","Census Tract 179, Philadelphia County, Pennsylvania","13735","null","30760","null",
"1400000US42101018001","Census Tract 180.01, Philadelphia County, Pennsylvania","15833","null","41844","null",
"1400000US42101018002","Census Tract 180.02, Philadelphia County, Pennsylvania","9237","null","39288","null",
"1400000US42101018300","Census Tract 183, Philadelphia County, Pennsylvania","11157","null","46136","null",
"1400000US42101018400","Census Tract 184, Philadelphia County, Pennsylvania","13505","null","46960","null",
"1400000US42101018800","Census Tract 188, Philadelphia County, Pennsylvania","10239","null","20278","null",
"1400000US42101019000","Census Tract 190, Philadelphia County, Pennsylvania","5919","null","32722","null",
"1400000US42101019100","Census Tract 191, Philadelphia County, Pennsylvania","11164","null","33750","null",
"1400000US42101019200","Census Tract 192, Philadelphia County, Pennsylvania","5424","null","15000","null",
"1400000US42101019501","Census Tract 195.01, Philadelphia County, Pennsylvania","11117","null","23074","null",
"1400000US42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania","10207","null","19896","null",
"1400000US42101019700","Census Tract 197, Philadelphia County, Pennsylvania","6930","null","24826","null",
"1400000US42101019800","Census Tract 198, Philadelphia County, Pennsylvania","3971","null","22443","null",
"1400000US42101019900","Census Tract 199, Philadelphia County, Pennsylvania","9895","null","19853","null",
