"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"1400000US42101038100","Census Tract 381, Philadelphia County, Pennsylvania","961","null","239","null","767","null","228","null","464","null","125","null","177","120","null","null","0","null","11","null","2","null","7","null","0","11","null","null","0","null","11","null","124","null","154","null","88","null","128","null","36","null","33","null","194","116","null","null","101","null","91","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","48","null","53","null","45","null","60","null","25","37","null","null","20","24","null","null",
"1400000US42101038200","Census Tract 382, Philadelphia County, Pennsylvania","3039","null","560","null","2285","null","495","null","1464","null","293","null","697","528","null","null","7","null","15","null","59","null","91","null","0","11","null","null","0","null","11","null","58","null","50","null","6","null","8","null","52","null","46","null","754","397","null","null","179","null","118","null","7","null","10","null","0","null","11","null","0","11","null","null","0","null","11","null","433","null","342","null","135","null","198","null","117","195","null","null","18","20","null","null",
"1400000US42101038301","Census Tract 383.01, Philadelphia County, Pennsylvania","2745","null","593","null","1395","null","496","null","508","null","398","null","859","301","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","28","null","35","null","0","null","11","null","28","null","35","null","1350","398","null","null","477","null","261","null","101","null","92","null","0","null","11","null","0","11","null","null","0","null","11","null","685","null","229","null","87","null","95","null","77","92","null","null","10","18","null","null",
"1400000US42101038400","Census Tract 384, Philadelphia County, Pennsylvania","2393","null","227","null","2339","null","220","null","1969","null","213","null","261","172","null","null","0","null","11","null","45","null","62","null","0","11","null","null","0","null","11","null","64","null","64","null","49","null","52","null","15","null","27","null","54","42","null","null","19","null","21","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","17","null","27","null","18","null","20","null","18","20","null","null","0","11","null","null",
"1400000US42101038500","Census Tract 385, Philadelphia County, Pennsylvania","1793","null","179","null","1778","null","181","null","1546","null","172","null","56","36","null","null","0","null","11","null","71","null","44","null","0","11","null","null","0","null","11","null","105","null","82","null","0","null","11","null","105","null","82","null","15","13","null","null","13","null","13","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","2","null","4","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101038600","Census Tract 386, Philadelphia County, Pennsylvania","1410","null","275","null","1372","null","275","null","1087","null","260","null","220","144","null","null","0","null","11","null","51","null","50","null","0","11","null","null","4","null","6","null","10","null","11","null","0","null","11","null","10","null","11","null","38","33","null","null","38","null","33","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101038700","Census Tract 387, Philadelphia County, Pennsylvania","2742","null","465","null","2686","null","464","null","2047","null","319","null","394","289","null","null","0","null","11","null","182","null","142","null","0","11","null","null","0","null","11","null","63","null","65","null","0","null","11","null","63","null","65","null","56","42","null","null","28","null","28","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","28","null","31","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101038800","Census Tract 388, Philadelphia County, Pennsylvania","3864","null","609","null","3756","null","605","null","2536","null","476","null","904","191","null","null","0","null","11","null","34","null","28","null","0","11","null","null","0","null","11","null","282","null","212","null","0","null","11","null","282","null","212","null","108","83","null","null","62","null","73","null","0","null","11","null","11","null","16","null","29","42","null","null","0","null","11","null","6","null","10","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101038900","Census Tract 389, Philadelphia County, Pennsylvania","3634","null","749","null","3382","null","631","null","210","null","113","null","2898","578","null","null","177","null","163","null","0","null","11","null","0","11","null","null","20","null","30","null","77","null","53","null","10","null","25","null","67","null","49","null","252","321","null","null","20","null","26","null","210","null","318","null","0","null","11","null","0","11","null","null","0","null","11","null","22","null","37","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101039001","Census Tract 390.01, Philadelphia County, Pennsylvania","3915","null","796","null","2240","null","459","null","399","null","283","null","1661","365","null","null","0","null","11","null","39","null","64","null","0","11","null","null","0","null","11","null","141","null","133","null","49","null","85","null","92","null","99","null","1675","659","null","null","632","null","424","null","266","null","279","null","0","null","11","null","0","11","null","null","0","null","11","null","460","null","398","null","317","null","409","null","278","406","null","null","39","61","null","null",
"1400000US42101039002","Census Tract 390.02, Philadelphia County, Pennsylvania","4745","null","1400","null","2659","null","703","null","335","null","216","null","2294","688","null","null","13","null","23","null","17","null","53","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","2086","1128","null","null","739","null","689","null","66","null","113","null","0","null","11","null","0","11","null","null","48","null","79","null","332","null","354","null","901","null","930","null","890","927","null","null","11","26","null","null",
"1400000US42101039100","Census Tract 391, Philadelphia County, Pennsylvania","3580","null","561","null","3492","null","576","null","93","null","95","null","3327","572","null","null","0","null","11","null","25","null","39","null","0","11","null","null","0","null","11","null","47","null","72","null","0","null","11","null","47","null","72","null","88","124","null","null","12","null","19","null","76","null","122","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101980001","Census Tract 9800.01, Philadelphia County, Pennsylvania","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null",
